Squad,Tackles TklW_for,Tackles Def 3rd_for,Tackles Mid 3rd_for,Tackles Att 3rd_for,Challenges Tkl_for,Challenges Tkl%_for,Challenges Lost_for,Blocks Blocks_for,Blocks Sh_for,Blocks Pass_for,Unnamed: 15_level_0 Int_for,Unnamed: 17_level_0 Clr_for,Unnamed: 18_level_0 Err_for,Tackles TklW_against,Tackles Def 3rd_against,Tackles Mid 3rd_against,Tackles Att 3rd_against,Challenges Tkl_against,Challenges Tkl%_against,Challenges Lost_against,Blocks Blocks_against,Blocks Sh_against,Blocks Pass_against,Unnamed: 15_level_0 Int_against,Unnamed: 17_level_0 Clr_against,Unnamed: 18_level_0 Err_against,Season
Getafe,491,369,267,79,276,37.7,456,350,69,281,487,899,5,480,350,273,73,288,49.3,296,357,83,274,515,788,14,2017-2018
Girona,403,299,254,58,240,39.6,366,329,84,245,490,858,6,439,318,268,67,284,44.1,360,308,96,212,396,896,16,2017-2018
La Coruña,500,386,282,60,292,43.0,387,391,113,278,484,942,13,431,306,263,55,245,39.5,375,356,102,254,491,825,8,2017-2018
Las Palmas,433,325,269,60,268,41.4,379,367,112,255,508,713,21,514,306,331,85,264,37.0,449,355,90,265,506,785,5,2017-2018
Leganés,483,350,307,64,323,46.3,374,361,87,274,583,777,9,474,356,284,80,267,43.9,341,371,85,286,432,796,7,2017-2018
Levante,414,328,222,66,239,38.2,386,395,127,268,477,811,9,522,380,282,93,310,45.3,375,380,105,275,454,813,7,2017-2018
Málaga,509,383,276,86,272,38.5,435,362,101,261,497,890,3,509,347,315,86,278,47.4,308,359,88,271,452,941,8,2017-2018
Real Madrid,470,317,275,95,252,40.6,369,362,83,279,424,536,16,418,358,205,81,251,33.4,501,431,152,279,486,974,17,2017-2018
Real Sociedad,374,249,228,70,227,42.4,309,367,91,276,446,665,6,510,366,266,76,261,41.9,362,430,127,303,489,855,13,2017-2018
Sevilla,535,354,325,89,296,43.2,389,419,114,305,409,849,17,471,353,277,69,269,40.7,392,442,118,324,467,851,12,2017-2018
Valencia,492,407,267,71,309,44.7,383,416,108,308,459,910,9,488,335,312,99,271,38.8,428,364,108,256,542,698,13,2017-2018
Villarreal,466,356,278,77,277,39.6,423,447,131,316,427,1023,7,440,294,260,86,247,43.0,328,383,109,274,518,696,9,2017-2018
