Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
30,64.4,2182,7325,14901,8400,1045,753,446,59.2,307,40.8,19443,851,840,266,456,435,23143,2095,35.6,18710,2299,6567,8133,4232,651,492,266,54.1,226,45.9,9990,558,431,149,488,311,11102,1081
25,61.8,2351,7748,12726,6515,826,717,449,62.6,267,37.2,16024,887,705,218,569,392,19278,1622,38.2,17994,2061,5784,7874,4579,698,544,325,59.7,219,40.3,9473,577,460,176,483,396,10516,1139
28,51.6,2297,7252,10891,4967,670,626,380,60.7,246,39.3,12743,673,588,141,499,371,14866,1278,48.4,21502,1931,6001,10013,5698,818,563,304,54.0,258,45.8,11699,721,507,179,497,376,13520,1488
25,54.0,1611,4998,10759,6998,907,592,344,58.1,248,41.9,11159,565,523,135,576,387,12814,1596,46.0,20644,2765,8817,8410,3621,574,564,323,57.3,240,42.6,9346,459,292,143,614,397,10819,1058
25,49.4,2499,7590,9658,4910,689,523,318,60.8,204,39.0,12023,642,500,139,565,374,13752,1482,50.6,22224,2083,6393,10123,5959,842,684,421,61.5,263,38.5,12180,799,670,201,511,392,14132,1572
26,40.7,1810,5155,7727,4688,688,576,299,51.9,277,48.1,7394,448,383,117,589,366,8009,1121,59.3,23942,2119,7657,11542,4958,653,617,362,58.7,255,41.3,12434,525,427,114,644,349,14591,1373
26,48.0,2422,7551,9834,4221,633,537,316,58.8,221,41.2,11343,634,487,102,502,370,13037,1303,52.0,22861,2037,6445,10613,6045,878,636,372,58.5,264,41.5,13030,809,633,221,529,349,14575,1602
30,44.5,2109,6288,8630,4582,723,592,314,53.0,278,47.0,9347,653,484,127,557,356,10474,1201,55.5,23013,2157,6857,10824,5607,817,694,391,56.3,303,43.7,12510,768,545,180,560,409,14442,1562
29,43.1,1976,6160,8726,4496,632,469,253,53.9,216,46.1,9754,447,367,98,476,304,10646,1141,56.9,24519,2052,7018,11921,5784,621,581,354,60.9,227,39.1,13630,705,584,117,553,382,16119,1585
26,45.7,2262,6322,8319,4541,688,738,402,54.5,336,45.5,9156,709,451,175,535,429,10747,1284,54.3,22279,2097,6482,9992,6067,1055,722,458,63.4,264,36.6,12412,868,675,239,503,308,13867,1542
29,48.7,2337,7145,9307,4597,620,848,534,63.0,314,37.0,11826,831,551,150,644,495,12385,1316,51.3,21765,1997,6057,10258,5680,878,594,335,56.4,257,43.3,11743,660,480,178,540,394,13334,1543
27,60.1,2035,7389,13413,7527,1076,756,460,60.8,295,39.0,17576,1009,748,301,493,356,20515,2081,39.9,20119,2534,7038,8853,4451,600,629,384,61.0,245,39.0,10572,615,469,146,479,381,12379,1150
30,51.7,2466,7645,10663,4646,660,679,411,60.5,267,39.3,12418,695,523,134,571,466,14458,1367,48.3,21608,1970,6395,9916,5513,793,584,336,57.5,248,42.5,11225,657,491,188,548,331,13244,1393
27,52.3,2154,7148,9945,5989,953,606,357,58.9,249,41.1,12731,828,590,199,486,391,14442,1792,47.7,21477,2377,6907,9765,5034,668,513,310,60.4,203,39.6,11828,696,566,148,491,395,13106,1400
25,47.1,2095,6684,9870,5366,835,589,343,58.2,246,41.8,11323,751,498,177,501,337,13565,1547,52.9,24319,2201,7084,11322,6165,769,588,350,59.5,238,40.5,14035,791,590,159,482,360,16278,1621
28,46.8,2292,6916,9021,4660,592,477,294,61.6,183,38.4,10474,662,473,149,507,347,11933,1294,53.2,22717,1949,6123,11039,5804,786,678,398,58.7,280,41.3,12553,800,607,128,569,434,14502,1631
26,48.3,2184,6753,10048,5230,804,603,348,57.7,255,42.3,11752,715,478,209,503,340,13666,1643,51.7,23247,2035,6768,10714,6016,858,659,386,58.6,273,41.4,12774,753,575,158,501,394,15061,1549
30,40.3,2197,6320,8026,3879,560,577,330,57.2,244,42.3,9107,454,347,118,534,403,9603,1030,59.7,24801,1933,6576,12237,6263,848,663,396,59.7,267,40.3,14524,751,592,183,571,435,16638,1828
26,49.6,2134,6390,10289,5239,761,611,350,57.3,261,42.7,11930,652,522,136,501,409,13091,1507,50.4,22085,2299,7360,10091,4901,693,735,439,59.7,296,40.3,12401,666,492,152,505,444,13605,1302
26,47.5,2103,7018,10691,5490,740,693,426,61.5,267,38.5,12659,703,498,169,548,448,14408,1449,52.5,24824,2087,6980,12139,5934,715,847,470,55.5,377,44.5,14996,737,639,137,505,540,16461,1660
25,62.8,2230,7352,14187,8054,1224,973,619,63.6,354,36.4,19047,1025,797,312,486,465,22019,2133,37.2,19311,2416,6707,8561,4292,623,552,323,58.5,229,41.5,10796,632,480,169,479,400,11689,1179
29,56.9,2520,8051,12473,5147,585,681,439,64.5,240,35.2,16808,736,557,177,520,381,17825,1500,43.1,19804,1729,5593,9351,5115,825,537,324,60.3,213,39.7,11043,622,469,193,486,422,12328,1349
23,55.7,2455,8023,11901,5073,708,603,376,62.4,227,37.6,14630,724,568,165,501,428,16844,1576,44.3,20658,1951,6194,9486,5185,762,556,338,60.8,218,39.2,11574,611,507,151,563,371,12694,1346
27,52.0,1647,5339,10665,6169,709,649,352,54.2,297,45.8,11543,635,532,129,621,374,12591,1450,48.0,21036,2620,8787,8648,3822,539,613,355,57.9,258,42.1,10432,488,296,140,559,385,11652,1040
25,46.9,2154,7119,9852,4461,590,596,323,54.2,272,45.6,11608,532,387,124,534,388,12654,1267,53.1,23788,2175,7081,11396,5592,702,700,429,61.3,271,38.7,14203,706,586,144,533,445,15340,1606
32,40.2,1860,5642,7420,4341,572,584,296,50.7,289,49.5,8099,374,315,104,540,408,8445,1083,59.8,24108,1876,7098,11953,5279,648,732,456,62.3,276,37.7,13658,660,494,126,620,439,15350,1567
25,46.8,1983,6509,9126,4530,658,644,360,55.9,284,44.1,10354,590,416,119,475,369,11736,1199,53.2,22066,2040,6783,10770,4781,688,606,366,60.4,240,39.6,12215,721,477,161,564,371,13933,1423
32,46.8,2107,6802,9416,5051,736,622,375,60.3,246,39.5,10832,640,451,170,461,378,12682,1463,53.2,23566,2138,6682,10977,6137,830,679,387,57.0,292,43.0,13518,774,591,198,529,436,15385,1697
36,54.7,2378,7676,11346,4861,618,714,449,62.9,264,37.0,14246,726,577,133,569,458,15716,1318,45.3,20457,1983,6103,9636,4967,846,649,379,58.4,268,41.3,11329,766,504,251,513,385,12478,1391
28,43.0,1888,6390,8493,4251,569,608,341,56.1,267,43.9,9590,534,389,107,559,453,10298,1099,57.0,24248,2008,7755,11461,5283,650,698,374,53.6,323,46.3,14398,645,469,150,569,398,15580,1455
33,42.8,2160,6122,8198,4610,658,685,375,54.7,310,45.3,9982,676,459,175,572,445,10628,1276,57.2,24072,2019,6952,11478,5855,911,626,386,61.7,239,38.2,14379,758,561,192,521,377,15996,1649
37,44.1,2074,6485,9190,4454,549,586,308,52.6,278,47.4,10572,463,407,104,576,470,11346,1151,55.9,24275,2108,7265,11522,5776,757,708,435,61.4,270,38.1,13805,777,562,164,521,472,15784,1760
24,60.2,1889,6969,13215,8217,1223,752,501,66.6,251,33.4,18912,1131,779,312,460,394,20847,2370,39.8,20298,2717,7190,8806,4516,581,621,369,59.4,252,40.6,11790,598,464,134,467,435,12807,1219
27,56.5,2378,7539,11407,5873,827,623,362,58.1,261,41.9,15068,883,644,183,553,447,16851,1595,43.5,19991,2234,6356,9349,4504,644,537,309,57.5,228,42.5,11389,577,431,144,478,319,12127,1224
31,54.3,2087,7217,11662,5987,949,661,392,59.3,269,40.7,14721,817,592,257,499,430,16249,1805,45.7,21424,2295,6920,9620,5152,758,685,389,56.8,296,43.2,12126,731,490,197,528,472,13130,1396
25,48.6,2141,7061,10314,5068,746,699,428,61.2,271,38.8,13199,739,516,188,539,475,14202,1549,51.4,23360,2052,6732,10783,6110,773,692,383,55.3,309,44.7,13821,728,576,178,491,436,15302,1601
32,50.4,2292,7613,10767,4789,691,575,328,57.0,247,43.0,12496,719,486,181,464,393,14905,1442,49.6,22743,1997,6523,10374,6080,880,700,423,60.4,277,39.6,13006,805,559,199,510,434,14661,1570
