Squad,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Season
Real Sociedad,82,4,2,492,544,92,627,425,344,7,3,2,2021,699,651,107,3,2,570,463,73,743,390,478,3,10,1,2060,651,699,2018-2019
Sevilla,118,6,4,536,462,111,812,365,408,5,7,0,2050,651,724,99,3,2,494,513,93,662,444,396,4,6,2,1912,724,651,2018-2019
Valencia,90,3,2,463,514,75,715,418,384,6,8,2,2016,596,621,113,4,4,540,432,70,781,448,377,4,7,1,2026,621,596,2018-2019
Valladolid,92,0,0,521,521,96,804,387,441,6,9,1,1967,595,854,106,5,5,561,490,65,801,395,347,6,7,1,2050,854,595,2018-2019
Villarreal,118,3,3,518,412,95,618,390,413,3,5,3,1914,613,629,84,2,0,443,495,87,820,439,359,4,6,2,1948,629,613,2018-2019
Alavés,109,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,84,4,2,545,566,59,805,422,462,7,3,0,2052,602,608,2017-2018
Athletic Club,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,106,8,6,513,509,96,644,422,449,6,8,2,2135,609,715,2017-2018
Atlético Madrid,96,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,98,0,0,507,517,24,694,488,494,4,5,1,2187,539,554,2017-2018
Barcelona,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,99,4,1,547,369,99,534,618,517,1,5,3,2055,286,343,2017-2018
Betis,91,3,1,465,486,62,534,427,424,1,4,4,1953,447,453,96,4,2,516,448,131,754,448,405,3,3,4,2061,453,447,2017-2018
Celta Vigo,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,97,1,0,572,399,73,669,495,426,4,3,2,2086,524,545,2017-2018
Eibar,86,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,78,6,4,470,456,156,473,510,435,3,3,1,2066,718,752,2017-2018
Espanyol,88,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,113,3,2,555,495,80,715,433,443,4,3,3,2100,633,597,2017-2018
Getafe,134,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,107,3,1,517,645,109,694,515,480,4,12,1,2160,730,541,2017-2018
Girona,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,112,3,1,520,589,129,614,396,439,5,8,0,1948,597,643,2017-2018
La Coruña,100,2,1,507,436,94,747,484,500,5,5,3,2074,558,584,75,2,2,461,494,83,756,491,431,5,5,0,2085,584,558,2017-2018
Las Palmas,89,3,1,484,665,81,581,508,433,5,5,1,1998,474,540,103,7,5,694,460,114,666,506,514,5,8,0,2163,540,474,2017-2018
Leganés,105,5,3,592,503,97,690,583,483,2,7,0,2140,653,627,82,4,4,526,568,90,638,432,474,5,3,2,2229,627,653,2017-2018
Levante,111,6,3,554,446,70,726,477,414,5,6,3,1967,468,559,93,6,4,466,527,113,741,454,522,6,5,1,2030,559,468,2017-2018
Málaga,101,8,5,613,442,89,742,497,509,3,7,0,2086,602,739,76,0,0,472,583,137,695,452,509,7,6,1,2107,739,602,2017-2018
Real Madrid,67,4,2,436,517,115,904,424,470,9,4,2,2087,406,369,97,3,1,531,421,76,531,486,418,3,10,3,1891,369,406,2017-2018
Real Sociedad,64,5,4,419,538,91,782,446,374,5,8,1,2038,498,467,94,1,1,556,391,89,596,489,510,5,5,2,1910,467,498,2017-2018
Sevilla,99,3,2,562,493,137,657,409,535,3,8,1,2129,582,504,80,3,3,527,537,74,684,467,471,6,5,1,2076,504,582,2017-2018
Valencia,107,5,4,518,548,83,605,459,492,7,5,0,2023,534,460,97,5,3,561,494,82,787,542,488,3,8,2,2033,460,534,2017-2018
Villarreal,117,6,4,598,458,111,517,427,466,5,8,0,2021,553,533,83,4,2,475,571,109,873,518,440,7,5,1,2047,533,553,2017-2018
