Unnamed: 1_level_0 # Pl_for,Playing Time Min_for,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Playing Time Min_against,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
3,3420,43,139,95,74.1,9,15,14,12,8,7,1,0,12.5,3418,32,121,88,76.0,15,6,3,2,1,40.0
2,3420,49,164,116,75.0,18,6,14,12,9,8,1,0,11.1,3420,63,171,108,69.0,3,11,10,1,0,9.1
2,3420,50,167,119,73.7,13,11,14,8,6,6,0,0,0.0,3420,39,119,79,68.9,13,2,2,0,0,0.0
2,3420,45,120,75,66.7,13,14,11,10,5,5,0,0,0.0,3420,41,139,98,74.1,11,7,5,2,0,28.6
2,3420,29,136,109,82.4,22,10,6,20,5,5,0,0,0.0,3420,55,159,105,67.3,6,4,3,1,0,25.0
2,3420,36,130,95,73.8,26,9,3,17,2,2,0,0,0.0,3420,90,251,162,67.3,3,9,8,1,0,11.1
2,3420,52,155,102,69.0,14,8,16,11,5,4,1,0,20.0,3420,44,163,118,76.1,10,7,5,2,0,28.6
2,3420,62,167,106,66.5,10,11,17,8,7,6,0,1,0.0,3420,53,159,107,71.1,9,7,7,0,0,0.0
2,3420,50,132,82,64.4,11,14,13,9,4,3,1,0,25.0,3420,46,154,108,74.7,11,8,7,0,1,0.0
1,3420,50,167,117,73.7,14,11,13,10,8,6,2,0,25.0,3419,48,158,115,72.2,7,4,4,0,0,0.0
2,3420,35,134,99,76.9,15,14,9,13,6,4,1,1,20.0,3420,48,128,81,67.2,11,6,6,0,0,0.0
2,3420,53,206,154,78.2,9,10,19,9,8,8,0,0,0.0,3420,37,143,106,78.3,14,6,6,0,0,0.0
3,3420,65,174,112,67.8,7,12,19,6,9,9,0,0,0.0,3420,43,146,102,74.7,13,7,6,1,0,14.3
2,3420,43,134,91,70.1,11,12,15,11,4,3,1,0,25.0,3420,37,132,94,74.2,13,5,3,1,1,25.0
3,3420,66,226,161,74.3,11,11,16,7,9,8,1,0,11.1,3420,59,161,103,66.5,9,7,5,2,0,28.6
2,3420,70,182,109,65.4,8,8,22,7,11,7,4,0,36.4,3420,41,149,109,75.8,9,5,5,0,0,0.0
3,3420,46,138,91,71.0,21,5,12,12,8,6,1,1,14.3,3420,63,212,151,74.5,9,9,9,0,0,0.0
2,3420,46,142,97,69.0,13,11,14,9,3,2,1,0,33.3,3420,45,143,97,74.1,13,10,8,2,0,20.0
3,3419,47,156,108,73.7,17,8,13,10,7,6,1,0,14.3,3420,62,173,112,67.1,12,6,5,1,0,16.7
2,3420,35,152,118,81.6,15,16,7,13,8,7,1,0,12.5,3420,51,164,112,72.0,11,7,5,2,0,28.6
2,3420,51,155,102,71.0,10,11,17,9,9,6,3,0,33.3,3420,32,131,98,78.6,17,7,4,2,1,33.3
2,3420,52,185,135,73.5,10,14,14,11,5,3,1,1,25.0,3420,49,174,125,73.6,9,6,3,2,1,40.0
2,3420,50,172,122,75.0,15,2,21,12,10,7,2,1,22.2,3420,40,136,95,71.3,13,3,1,1,1,50.0
2,3420,49,166,117,72.3,10,13,15,11,6,3,3,0,50.0,3420,41,150,109,76.7,12,8,6,2,0,25.0
2,3420,22,129,105,83.7,23,10,5,23,4,1,3,0,75.0,3420,58,152,94,64.5,8,5,4,1,0,20.0
2,3420,29,133,104,79.7,28,9,1,19,2,2,0,0,0.0,3420,99,269,171,64.3,1,5,3,2,0,40.0
3,3420,61,156,98,62.8,18,6,14,13,4,3,1,0,25.0,3420,60,163,106,64.4,11,3,2,1,0,33.3
3,3416,60,161,102,65.2,13,10,15,7,5,4,0,1,0.0,3420,59,160,102,64.4,8,3,2,1,0,33.3
3,3420,50,134,87,65.7,14,9,15,11,4,4,0,0,0.0,3415,44,133,90,68.4,15,3,2,0,1,0.0
2,3420,42,164,122,76.8,12,13,13,12,6,4,2,0,33.3,3420,36,131,97,74.0,15,3,2,1,0,33.3
2,3420,33,130,96,76.2,15,10,13,14,4,2,1,1,33.3,3420,42,132,86,72.0,13,12,5,5,2,50.0
2,3420,59,175,119,68.6,14,9,15,11,5,4,0,1,0.0,3420,50,156,105,71.8,10,8,6,1,1,14.3
