Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Athletic Club,26,38.0,12533,16915,74.1,234527,90251,5521,6494,85.0,4692,5831,80.5,1830,3367,54.4,23,26.2,25.2,-3.2,277,967,217,85,1291,26,38.0,13649,18082,75.5,245082,93027,6206,7231,85.8,5280,6511,81.1,1666,3162,52.7,26,34.6,32.0,-8.6,288,1019,267,84,1390,2019-2020
Atlético Madrid,30,38.0,13595,17765,76.5,221969,88361,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2,35,39.4,37.1,-4.4,330,904,289,49,1333,30,38.0,14900,19126,77.9,275845,93423,6444,7434,86.7,5943,7046,84.3,2007,3500,57.3,15,22.9,25.5,-7.9,299,1203,225,68,1523,2019-2020
Barcelona,28,38.0,24758,28227,87.7,391043,120014,12607,13663,92.3,9115,9972,91.4,1889,2618,72.2,62,49.5,51.2,12.5,384,1827,417,31,2042,28,38.0,10889,14303,76.1,191184,73922,5128,5926,86.5,4001,4816,83.1,1301,2487,52.3,21,23.6,23.3,-2.6,257,753,210,68,1003,2019-2020
Betis,27,38.0,16182,19823,81.6,284815,94491,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4,35,36.9,33.8,-1.9,360,1015,322,84,1475,27,38.0,11625,15463,75.2,214797,82200,5043,5816,86.7,4579,5561,82.3,1552,2976,52.2,40,36.1,32.5,3.9,330,915,270,77,1263,2019-2020
Celta Vigo,30,38.0,14552,18557,78.4,249113,90321,6742,7687,87.7,5746,6750,85.1,1422,2704,52.6,26,26.2,26.2,-0.2,279,970,253,60,1364,30,38.0,13456,17544,76.7,237469,86488,6243,7168,87.1,5045,6092,82.8,1611,3054,52.8,31,33.4,33.9,-2.4,327,1116,286,83,1436,2019-2020
Eibar,26,38.0,10439,15551,67.1,207816,83924,4422,5456,81.0,4008,5354,74.9,1713,3829,44.7,24,26.0,26.3,-2.0,292,1007,224,108,1265,26,38.0,13273,18285,72.6,244320,99810,5931,7081,83.8,5059,6351,79.7,1801,3578,50.3,38,40.0,28.7,-2.0,278,810,272,79,1177,2019-2020
Espanyol,31,38.0,11881,16363,72.6,224795,87287,4830,5791,83.4,5174,6369,81.2,1528,3235,47.2,17,27.3,26.7,-10.3,283,962,222,86,1240,31,38.0,13993,18345,76.3,249816,92695,6503,7537,86.3,5361,6468,82.9,1645,3189,51.6,35,34.9,30.5,0.1,317,1122,262,73,1452,2019-2020
Getafe,30,38.0,8319,13715,60.7,165204,78265,3535,4713,75.0,2977,4408,67.5,1466,3508,41.8,31,27.9,26.6,3.1,284,970,275,130,1196,30,38.0,11770,16917,69.6,216123,93019,5239,6390,82.0,4359,5709,76.4,1621,3378,48.0,21,29.5,24.4,-8.5,193,817,150,50,1089,2019-2020
Granada,27,38.0,9810,14105,69.5,190418,79655,3970,4840,82.0,3979,5089,78.2,1486,3136,47.4,34,30.5,26.2,3.5,275,822,176,69,1009,27,38.0,14365,18617,77.2,254954,95022,6722,7662,87.7,5544,6693,82.8,1632,3098,52.7,37,33.1,29.0,3.9,341,992,258,71,1397,2019-2020
Leganés,29,38.0,10336,14838,69.7,189358,81026,4801,5718,84.0,3782,4953,76.4,1390,3161,44.0,19,27.7,25.4,-8.7,292,890,223,95,1165,29,38.0,15049,19534,77.0,274698,96360,6509,7555,86.2,6127,7287,84.1,1834,3433,53.4,34,29.7,30.5,4.3,262,1092,238,92,1423,2019-2020
