Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Freiburg,26,34.0,46,405,132,32.6,11.91,3.88,0.11,0.35,16.9,16,0,4,44.3,41.1,0.11,1.7,4.9,26,34.0,52,428,146,34.1,12.59,4.29,0.12,0.34,17.8,13,2,4,42.4,39.4,0.09,9.6,10.6,2024-2025 Bundesliga
Gladbach,26,34.0,53,413,153,37.0,12.15,4.5,0.12,0.32,16.4,5,4,5,50.6,46.6,0.11,2.4,2.4,26,34.0,55,577,183,31.7,16.97,5.38,0.08,0.26,17.2,13,7,8,63.4,57.0,0.1,-8.4,-9.0,2024-2025 Bundesliga
Heidenheim,27,34.0,37,398,124,31.2,11.71,3.65,0.08,0.26,17.3,12,5,5,40.3,36.3,0.09,-3.3,-4.3,27,34.0,64,454,165,36.3,13.35,4.85,0.13,0.35,17.4,15,6,6,57.6,53.0,0.12,6.4,5.0,2024-2025 Bundesliga
Hoffenheim,35,34.0,46,440,148,33.6,12.94,4.35,0.1,0.29,17.7,11,3,3,42.6,40.3,0.09,3.4,2.7,35,34.0,65,485,167,34.4,14.26,4.91,0.13,0.37,16.4,16,3,6,55.8,51.1,0.11,9.2,10.9,2024-2025 Bundesliga
Holstein Kiel,27,34.0,49,368,133,36.1,10.82,3.91,0.12,0.34,17.8,12,4,5,39.8,35.9,0.1,9.2,9.1,27,34.0,77,548,188,34.3,16.12,5.53,0.13,0.38,15.7,10,6,7,61.0,55.6,0.1,16.0,15.4,2024-2025 Bundesliga
Leverkusen,23,34.0,70,499,181,36.3,14.68,5.32,0.13,0.37,16.8,12,3,6,56.9,52.0,0.11,13.1,15.0,23,34.0,39,330,130,39.4,9.71,3.82,0.11,0.27,17.2,10,4,4,36.2,33.1,0.1,2.8,1.9,2024-2025 Bundesliga
Mainz 05,25,34.0,53,417,142,34.1,12.26,4.18,0.12,0.35,16.3,11,4,4,50.1,47.0,0.12,2.9,2.0,25,34.0,43,459,145,31.6,13.5,4.26,0.08,0.27,16.7,10,4,5,48.1,44.6,0.1,-5.1,-5.6,2024-2025 Bundesliga
RB Leipzig,29,34.0,51,405,144,35.6,11.91,4.24,0.12,0.33,16.7,11,3,4,46.6,43.4,0.11,4.4,4.6,29,34.0,48,497,155,31.2,14.62,4.56,0.09,0.3,16.2,12,2,3,53.3,51.0,0.11,-5.3,-5.0,2024-2025 Bundesliga
St. Pauli,28,34.0,26,377,109,28.9,11.09,3.21,0.07,0.23,17.4,14,1,2,35.3,33.7,0.09,-9.3,-8.7,28,34.0,40,375,135,36.0,11.03,3.97,0.1,0.29,16.1,6,1,5,45.4,41.5,0.11,-5.4,-2.5,2024-2025 Bundesliga
Stuttgart,29,34.0,61,465,172,37.0,13.68,5.06,0.13,0.34,15.7,9,2,6,62.3,57.7,0.13,-1.3,1.3,29,34.0,52,386,133,34.5,11.35,3.91,0.13,0.38,17.0,10,2,3,46.9,44.5,0.12,5.1,5.5,2024-2025 Bundesliga
Union Berlin,28,34.0,36,414,120,29.0,12.18,3.53,0.08,0.28,16.6,7,3,3,37.0,34.7,0.08,-1.0,-1.7,28,34.0,49,410,133,32.4,12.06,3.91,0.11,0.35,16.9,13,2,6,47.8,43.0,0.11,1.2,4.0,2024-2025 Bundesliga
Werder Bremen,23,34.0,53,424,138,32.5,12.47,4.06,0.12,0.36,16.0,12,3,5,49.1,45.7,0.11,3.9,4.3,23,34.0,54,467,153,32.8,13.74,4.5,0.11,0.33,17.6,18,3,3,48.1,45.7,0.1,5.9,5.3,2024-2025 Bundesliga
Wolfsburg,27,34.0,53,432,137,31.7,12.71,4.03,0.11,0.36,17.3,13,4,5,47.5,43.4,0.1,5.5,5.6,27,34.0,53,470,157,33.4,13.82,4.62,0.11,0.32,16.5,13,2,3,52.5,50.1,0.11,0.5,0.9,2024-2025 Bundesliga
